dataset,variables,values
1,x,10
1,x,8
1,x,13
1,x,9
1,x,11
1,x,14
1,x,6
1,x,4
1,x,12
1,x,7
1,x,5
1,y,8.04
1,y,6.95
1,y,7.58
1,y,8.81
1,y,8.33
1,y,9.96
1,y,7.24
1,y,4.26
1,y,10.84
1,y,4.82
1,y,5.68
2,x,10
2,x,8
2,x,13
2,x,9
2,x,11
2,x,14
2,x,6
2,x,4
2,x,12
2,x,7
2,x,5
2,y,9.14
2,y,8.14
2,y,8.74
2,y,8.77
2,y,9.26
2,y,8.1
2,y,6.13
2,y,3.1
2,y,9.13
2,y,7.26
2,y,4.74
3,x,10
3,x,8
3,x,13
3,x,9
3,x,11
3,x,14
3,x,6
3,x,4
3,x,12
3,x,7
3,x,5
3,y,7.46
3,y,6.77
3,y,12.74
3,y,7.11
3,y,7.81
3,y,8.84
3,y,6.08
3,y,5.39
3,y,8.15
3,y,6.42
3,y,5.73
4,x,8
4,x,8
4,x,8
4,x,8
4,x,8
4,x,8
4,x,8
4,x,19
4,x,8
4,x,8
4,x,8
4,y,6.58
4,y,5.76
4,y,7.71
4,y,8.84
4,y,8.47
4,y,7.04
4,y,5.25
4,y,12.5
4,y,5.56
4,y,7.91
4,y,6.89
