data from https://readymag.com/u94255285/colors-of-classics/;;
writer;number;color
А.Толстой;525;алый
А.Толстой;58;багровый/багряный
А.Толстой;0;бежевый
А.Толстой;279;белый/белесый
А.Толстой;66;голубой
А.Толстой;168;жёлтый
А.Толстой;187;зелёный/изумрудный
А.Толстой;260;золотой
А.Толстой;14;карий
А.Толстой;5;коралловый
А.Толстой;51;коричневый/каштановый
А.Толстой;585;красный
А.Толстой;10;лазурный
А.Толстой;46;лиловый
А.Толстой;44;малиновый
А.Толстой;72;оранжевый/рыжий
А.Толстой;0;пурпурный
А.Толстой;67;розовый
А.Толстой;29;русый
А.Толстой;29;серебристый
А.Толстой;179;серый
А.Толстой;27;сизый
А.Толстой;141;синий
А.Толстой;1;сиреневый
А.Толстой;2;фиолетовый
А.Толстой;606;чёрный
В.Набоков;10;алый
В.Набоков;25;багровый/багряный
В.Набоков;5;бежевый
В.Набоков;236;белый/белесый
В.Набоков;84;голубой
В.Набоков;157;жёлтый
В.Набоков;213;зелёный/изумрудный
В.Набоков;90;золотой
В.Набоков;25;карий
В.Набоков;8;коралловый
В.Набоков;136;коричневый/каштановый
В.Набоков;250;красный
В.Набоков;13;лазурный
В.Набоков;53;лиловый
В.Набоков;21;малиновый
В.Набоков;28;оранжевый/рыжий
В.Набоков;7;пурпурный
В.Набоков;173;розовый
В.Набоков;30;русый
В.Набоков;21;серебристый
В.Набоков;145;серый
В.Набоков;28;сизый
В.Набоков;178;синий
В.Набоков;22;сиреневый
В.Набоков;26;фиолетовый
В.Набоков;711;чёрный
И.Гончаров;192;алый
И.Гончаров;4;багровый/багряный
И.Гончаров;0;бежевый
И.Гончаров;38;белый/белесый
И.Гончаров;19;голубой
И.Гончаров;36;жёлтый
И.Гончаров;30;зелёный/изумрудный
И.Гончаров;23;золотой
И.Гончаров;2;карий
И.Гончаров;0;коралловый
И.Гончаров;7;коричневый/каштановый
И.Гончаров;138;красный
И.Гончаров;0;лазурный
И.Гончаров;10;лиловый
И.Гончаров;1;малиновый
И.Гончаров;6;оранжевый/рыжий
И.Гончаров;0;пурпурный
И.Гончаров;31;розовый
И.Гончаров;5;русый
И.Гончаров;4;серебристый
И.Гончаров;29;серый
И.Гончаров;0;сизый
И.Гончаров;40;синий
И.Гончаров;4;сиреневый
И.Гончаров;0;фиолетовый
И.Гончаров;64;чёрный
И.Тургенев;2;алый
И.Тургенев;2;багровый/багряный
И.Тургенев;0;бежевый
И.Тургенев;54;белый/белесый
И.Тургенев;16;голубой
И.Тургенев;45;жёлтый
И.Тургенев;52;зелёный/изумрудный
И.Тургенев;42;золотой
И.Тургенев;8;карий
И.Тургенев;0;коралловый
И.Тургенев;4;коричневый/каштановый
И.Тургенев;75;красный
И.Тургенев;1;лазурный
И.Тургенев;8;лиловый
И.Тургенев;2;малиновый
И.Тургенев;11;оранжевый/рыжий
И.Тургенев;0;пурпурный
И.Тургенев;31;розовый
И.Тургенев;8;русый
И.Тургенев;6;серебристый
И.Тургенев;41;серый
И.Тургенев;1;сизый
И.Тургенев;15;синий
И.Тургенев;4;сиреневый
И.Тургенев;0;фиолетовый
И.Тургенев;84;чёрный
Л.Толстой;0;алый
Л.Толстой;23;багровый/багряный
Л.Толстой;0;бежевый
Л.Толстой;370;белый/белесый
Л.Толстой;50;голубой
Л.Толстой;67;жёлтый
Л.Толстой;72;зелёный/изумрудный
Л.Толстой;77;золотой
Л.Толстой;4;карий
Л.Толстой;0;коралловый
